unique_num,campain_code,customer_code,customer_name,brand_code,brand_name,pro_code,pro_name,encrypt_procode,decrypt_procode,url
28,15_1_1,15,JK인터내셔날,1,레고코리아,1,2. 76899_람보르기니 우루스 ST-X & 람보르기니 우라칸 수퍼 트로페오 에보,MTQ3MDQ3NA,1470474,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ3NA&aid=15_1_1_[DATE]&mid=TMS&rid=[SEQ]
28,15_1_1,15,JK인터내셔날,1,레고코리아,1,3. 31105_타운하우스 장난감 가게,MTQ3MDQ3NA,1470474,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ3NA&aid=15_1_1_[DATE]&mid=TMS&rid=[SEQ]
28,15_1_1,15,JK인터내셔날,1,레고코리아,1,4. 70429_엘 푸에고의 스턴트 비행기,MTQ3MDQ3NA,1470474,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ3NA&aid=15_1_1_[DATE]&mid=TMS&rid=[SEQ]
28,15_1_1,15,JK인터내셔날,1,레고코리아,1,5. 42109_앱 조종식 탑기어 랠리카,MTQ3MDQ3NA,1470474,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ3NA&aid=15_1_1_[DATE]&mid=TMS&rid=[SEQ]
28,15_1_1,15,JK인터내셔날,1,레고코리아,1,6. 41395_우정 버스,MTQ3MDQ3NA,1470474,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ3NA&aid=15_1_1_[DATE]&mid=TMS&rid=[SEQ]
28,15_1_1,15,JK인터내셔날,1,레고코리아,1,7. 41391_하트레이크 시티 헤어샵,MTQ3MDQ3NA,1470474,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ3NA&aid=15_1_1_[DATE]&mid=TMS&rid=[SEQ]
28,15_1_1,15,JK인터내셔날,1,레고코리아,1,8. 10928_베이커리 가게,MTQ3MDQ3NA,1470474,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ3NA&aid=15_1_1_[DATE]&mid=TMS&rid=[SEQ]
28,15_1_1,15,JK인터내셔날,1,레고코리아,1,9. 60248_소방 헬리콥터 출동,MTQ3MDQ3NA,1470474,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ3NA&aid=15_1_1_[DATE]&mid=TMS&rid=[SEQ]
28,15_1_1,15,JK인터내셔날,1,레고코리아,1,10. 60252_건설용 불도저,MTQ3MDQ3NA,1470474,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ3NA&aid=15_1_1_[DATE]&mid=TMS&rid=[SEQ]
28,15_1_1,15,JK인터내셔날,1,레고코리아,1,11. 60254_경주용 보트 운송트럭,MTQ3MDQ3NA,1470474,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ3NA&aid=15_1_1_[DATE]&mid=TMS&rid=[SEQ]
28,15_1_1,15,JK인터내셔날,1,레고코리아,1,12. 60267_사파리 오프로더,MTQ3MDQ3NA,1470474,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ3NA&aid=15_1_1_[DATE]&mid=TMS&rid=[SEQ]
28,15_1_1,15,JK인터내셔날,1,레고코리아,1,13. 10847_듀플로 숫자와 기차 놀이,MTQ3MDQ3NA,1470474,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ3NA&aid=15_1_1_[DATE]&mid=TMS&rid=[SEQ]
28,15_1_1,15,JK인터내셔날,1,레고코리아,1,14. 10902_듀플로 경찰서,MTQ3MDQ3NA,1470474,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ3NA&aid=15_1_1_[DATE]&mid=TMS&rid=[SEQ]
29,16_1_1,16,제이엠비즈콘,1,테팔,1,1. 파워 블루 멀티팬 28cm + 유리뚜껑 28cm TFC-PBWG,MTQ3MDQ2OQ,1470469,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ2OQ&aid=16_1_1_[DATE]&mid=TMS&rid=[SEQ]
29,16_1_1,16,제이엠비즈콘,1,테팔,1,2. 데코레이티브시리즈 멀티팬 28cm TFC-DSW,MTQ3MDQ2OQ,1470469,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ2OQ&aid=16_1_1_[DATE]&mid=TMS&rid=[SEQ]
29,16_1_1,16,제이엠비즈콘,1,테팔,1,3. 인덕션 초콜릿 티타늄 프로 냄비 편수 18cm TFC-ICS8,MTQ3MDQ2OQ,1470469,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ2OQ&aid=16_1_1_[DATE]&mid=TMS&rid=[SEQ]
29,16_1_1,16,제이엠비즈콘,1,테팔,1,4. 인덕션 초콜릿 티타늄 프로 프라이팬 28cm TFC-IC8,MTQ3MDQ2OQ,1470469,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ2OQ&aid=16_1_1_[DATE]&mid=TMS&rid=[SEQ]
29,16_1_1,16,제이엠비즈콘,1,테팔,1,5. 쿡이지 블랙 프라이팬 28cm+파워블루 멀티팬 28cm+유리뚜껑 28cm TFC-CE8PBWG,MTQ3MDQ2OQ,1470469,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ2OQ&aid=16_1_1_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_2,16,제이엠비즈콘,1,테팔,2,1. 테팔 브루트 인덕션 후라이팬 22cm,MTQ3MDUwNA,1470504,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNA&aid=16_1_2_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_2,16,제이엠비즈콘,1,테팔,2,2. 테팔 브루트 인덕션 후라이팬 24cm,MTQ3MDUwNA,1470504,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNA&aid=16_1_2_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_2,16,제이엠비즈콘,1,테팔,2,3. 테팔 브루트 인덕션 후라이팬 28cm,MTQ3MDUwNA,1470504,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNA&aid=16_1_2_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_2,16,제이엠비즈콘,1,테팔,2,4. 테팔 브루트 인덕션 후라이팬 멀티팬 28cm,MTQ3MDUwNA,1470504,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNA&aid=16_1_2_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_2,16,제이엠비즈콘,1,테팔,2,5. 테팔 브루트 인덕션 후라이팬 28cm + 멀티뚜껑,MTQ3MDUwNA,1470504,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNA&aid=16_1_2_[DATE]&mid=TMS&rid=[SEQ]
